candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,non_glowing_required_cells,missing_required_resources,non_glowing_cell_ids,final_score,connected_cells,layout_score,diagnostics
864,false,-1,8.60,86,3920,1003,0,11,1,13,5,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001|red-myco-001|red-myco-002,-26407,14,1023936,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,B,E,G,H;strong=[cell-c-001,cell-h-001,cell-j-001]|[cell-d-001,cell-f-001,cell-i-001]|[cell-a-001]|[cell-b-001]|[cell-e-001]|[cell-g-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-c-001,cell-h-001,cell-j-001]|[cell-d-001,cell-f-001,cell-i-001]|[cell-a-001]|[cell-b-001]|[cell-e-001]|[cell-g-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
865,false,-1,10.90,109,5681,2913,0,13,4,10,3,cell-a-001|cell-b-001|cell-d-001|cell-e-001|cell-f-001|cell-i-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,150,14,1243116,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=A,D,I;strong=[cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-d-001]|[cell-i-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-d-001]|[cell-i-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
866,false,-1,11.20,112,8627,3664,0,12,7,7,1,cell-a-001|cell-e-001|cell-f-001|cell-g-001|cell-i-001|cell-i-002|cell-i-003,7535,14,1160829,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003;missingResources=A;strong=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-a-001]|[cell-i-003];weak=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-a-001]|[cell-i-003]"
867,false,-1,5.10,51,3531,898,0,8,1,13,4,cell-a-001|cell-b-001|cell-c-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001|red-myco-001|red-myco-002,-31289,14,884357,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-001,red-myco-002;missingResources=A,B,C,H;strong=[cell-d-001,cell-f-001,cell-i-001]|[cell-e-001,cell-g-001,cell-j-001]|[cell-a-001]|[cell-b-001]|[cell-c-001]|[cell-h-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-d-001,cell-f-001,cell-i-001]|[cell-e-001,cell-g-001,cell-j-001]|[cell-a-001]|[cell-b-001]|[cell-c-001]|[cell-h-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
868,false,-1,11.40,114,5780,2842,0,13,4,10,2,cell-a-001|cell-b-001|cell-e-001|cell-f-001|cell-g-001|cell-i-001|cell-i-002|cell-i-003|red-myco-001|red-myco-002,-716,14,1111990,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002;missingResources=A,B;strong=[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-d-001,cell-f-001,cell-i-001]|[cell-a-001]|[cell-b-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002];weak=[cell-c-001,cell-e-001,cell-g-001,cell-h-001,cell-j-001]|[cell-d-001,cell-f-001,cell-i-001]|[cell-a-001]|[cell-b-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]|[red-myco-002]"
869,false,-1,11.90,119,8501,3600,0,12,6,8,3,cell-a-001|cell-c-001|cell-f-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001,6607,14,1245710,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-c-001,cell-f-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001;missingResources=A,C,H;strong=[cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-a-001]|[cell-c-001]|[cell-h-001]|[cell-i-003];weak=[cell-b-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-j-001,red-myco-001,red-myco-002]|[cell-a-001]|[cell-c-001]|[cell-h-001]|[cell-i-003]"
870,false,-1,8.90,89,6465,2762,0,12,6,8,2,cell-a-001|cell-b-001|cell-f-001|cell-g-001|cell-i-001|cell-i-002|cell-i-003|red-myco-002,-3492,14,1107086,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-f-001,cell-g-001,cell-i-001,cell-i-002,cell-i-003,red-myco-002;missingResources=A,B;strong=[cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,red-myco-001]|[cell-a-001]|[cell-b-001]|[cell-i-002]|[cell-i-003]|[red-myco-002];weak=[cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,red-myco-001]|[cell-a-001]|[cell-b-001]|[cell-i-002]|[cell-i-003]|[red-myco-002]"
871,false,-1,12.00,120,8277,3725,0,12,6,8,1,cell-a-001|cell-b-001|cell-e-001|cell-f-001|cell-i-001|cell-i-002|cell-i-003|red-myco-001,8094,14,1095063,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-e-001,cell-f-001,cell-i-001,cell-i-002,cell-i-003,red-myco-001;missingResources=A;strong=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,red-myco-002]|[cell-a-001]|[cell-i-002]|[cell-i-003]|[red-myco-001];weak=[cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-j-001,red-myco-002]|[cell-a-001]|[cell-i-002]|[cell-i-003]|[red-myco-001]"
872,false,-1,12.20,122,8895,1926,0,14,4,10,2,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001,-10791,14,1377526,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001;missingResources=D,H;strong=[cell-a-001,cell-b-001,cell-e-001,cell-f-001,cell-g-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002]|[cell-c-001,cell-h-001,cell-j-001]|[cell-d-001]|[cell-i-001];weak=[cell-a-001,cell-b-001,cell-e-001,cell-f-001,cell-g-001,cell-i-002,cell-i-003,red-myco-001,red-myco-002]|[cell-c-001,cell-h-001,cell-j-001]|[cell-d-001]|[cell-i-001]"
873,false,-1,6.00,60,3859,146,0,8,1,13,4,cell-a-001|cell-b-001|cell-c-001|cell-d-001|cell-e-001|cell-f-001|cell-g-001|cell-h-001|cell-i-001|cell-i-002|cell-i-003|cell-j-001|red-myco-002,-39410,14,788766,"alive=False;won=False;sustained=0;nonGlowing=cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-g-001,cell-h-001,cell-i-001,cell-i-002,cell-i-003,cell-j-001,red-myco-002;missingResources=A,D,E,F;strong=[cell-b-001,cell-g-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-d-001]|[cell-e-001]|[cell-f-001]|[cell-i-001]|[cell-i-003]|[red-myco-002];weak=[cell-b-001,cell-g-001,cell-i-002,red-myco-001]|[cell-c-001,cell-h-001,cell-j-001]|[cell-a-001]|[cell-d-001]|[cell-e-001]|[cell-f-001]|[cell-i-001]|[cell-i-003]|[red-myco-002]"
