candidate,won,first_win_tick,best_10_tick_flow,best_10_tick_swaps,total_swaps,total_reactions,sustained_ticks,active_cells,glowing_cells,final_score,connected_cells,layout_score,diagnostics
10,false,-1,24.10,241,20643,12864,0,20,19,108599,20,2618473,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
11,false,-1,24.10,241,20643,12864,0,20,19,108599,20,2618473,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
12,false,-1,24.10,241,20643,12864,0,20,19,108599,20,2617771,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
13,false,-1,24.10,241,20643,12864,0,20,19,108599,20,2617771,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
14,false,-1,24.10,241,20305,12774,0,20,19,107523,20,2617752,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
15,false,-1,24.10,241,20305,12774,0,20,19,107523,20,2617752,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
16,false,-1,24.20,242,20926,13166,0,20,19,112224,20,2605936,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
17,false,-1,24.20,242,20926,13166,0,20,19,112224,20,2605936,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
18,false,-1,24.20,242,20982,12722,0,20,19,106887,20,2605414,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
19,false,-1,24.20,242,20982,12722,0,20,19,106887,20,2605414,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
20,false,-1,24.20,242,20926,13166,0,20,19,112224,20,2605260,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
21,false,-1,24.20,242,20926,13166,0,20,19,112224,20,2605260,"alive=False;won=False;sustained=0;nonGlowing=cell-f-001;missingResources=none;strong=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003];weak=[cell-a-001,cell-b-001,cell-c-001,cell-d-001,cell-e-001,cell-f-001,cell-f-002,cell-g-001,cell-g-002,cell-h-001,cell-i-001,cell-j-001,cell-k-001,cell-l-001,cell-m-001,cell-n-001,cell-o-001,red-myco-001,red-myco-002,red-myco-003]"
